
 ================ Running training with num_iterations = 100 ================
Current Epochs: 0.03
Step Index: 31600 | Cost: 2.236505
Step Index: 31700 | Cost: 2.067682
Step Index: 31800 | Cost: 2.197393
Step Index: 31900 | Cost: 2.081504
Step Index: 32000 | Cost: 2.298972
Step Index: 32100 | Cost: 2.030203
Step Index: 32200 | Cost: 2.146655
Step Index: 32300 | Cost: 2.125174
Step Index: 32400 | Cost: 2.055088
Step Index: 32500 | Cost: 2.163158
Step Index: 32600 | Cost: 2.212124
Step Index: 32700 | Cost: 2.234731
Step Index: 32800 | Cost: 2.297946
Step Index: 32900 | Cost: 2.068003
Step Index: 33000 | Cost: 2.133830
Step Index: 33100 | Cost: 2.229080
Step Index: 33200 | Cost: 2.167564
Step Index: 33300 | Cost: 2.125743
Step Index: 33400 | Cost: 2.300641
Step Index: 33500 | Cost: 2.238981
Step Index: 33600 | Cost: 2.173325
Step Index: 33700 | Cost: 2.221594
Step Index: 33800 | Cost: 2.108151
Step Index: 33900 | Cost: 2.037000
Step Index: 34000 | Cost: 2.158108
Step Index: 34100 | Cost: 2.065149
Step Index: 34200 | Cost: 2.155840
Step Index: 34300 | Cost: 2.226597
Step Index: 34400 | Cost: 2.154484
Step Index: 34500 | Cost: 2.232435
Step Index: 34600 | Cost: 2.027293
Step Index: 34700 | Cost: 2.193448
Step Index: 34800 | Cost: 2.206651
Step Index: 34900 | Cost: 2.044161
Step Index: 35000 | Cost: 2.155760
Step Index: 35100 | Cost: 2.120266
Step Index: 35200 | Cost: 2.095439
Step Index: 35300 | Cost: 2.037772
Step Index: 35400 | Cost: 2.128354
Step Index: 35500 | Cost: 2.167216
Step Index: 35600 | Cost: 2.071672
Step Index: 35700 | Cost: 2.041094
Step Index: 35800 | Cost: 2.244031
Step Index: 35900 | Cost: 2.071504
Step Index: 36000 | Cost: 2.122337
Step Index: 36100 | Cost: 2.107217
Step Index: 36200 | Cost: 2.106970
Step Index: 36300 | Cost: 2.008367
Step Index: 36400 | Cost: 2.091323
Step Index: 36500 | Cost: 2.073213
Step Index: 36600 | Cost: 2.317095
Step Index: 36700 | Cost: 2.239251
Step Index: 36800 | Cost: 2.111568
Step Index: 36900 | Cost: 2.122795
Step Index: 37000 | Cost: 2.256287
Step Index: 37100 | Cost: 2.122739
Step Index: 37200 | Cost: 2.117727
Step Index: 37300 | Cost: 2.267881
Step Index: 37400 | Cost: 2.212261
Step Index: 37500 | Cost: 2.143431
Step Index: 37600 | Cost: 2.094251
Step Index: 37700 | Cost: 2.298214
Step Index: 37800 | Cost: 2.142778
Step Index: 37900 | Cost: 2.273884
Step Index: 38000 | Cost: 2.180584
Step Index: 38100 | Cost: 2.087045
Step Index: 38200 | Cost: 2.265464
Step Index: 38300 | Cost: 2.088604
Step Index: 38400 | Cost: 2.160916
Step Index: 38500 | Cost: 2.147928
Step Index: 38600 | Cost: 1.998423
Step Index: 38700 | Cost: 2.216465
Step Index: 38800 | Cost: 2.017257
Step Index: 38900 | Cost: 2.128035
Step Index: 39000 | Cost: 2.002050
Step Index: 39100 | Cost: 2.181005
Step Index: 39200 | Cost: 2.151842
Step Index: 39300 | Cost: 2.208211
Step Index: 39400 | Cost: 2.126490
Step Index: 39500 | Cost: 1.922596
Step Index: 39600 | Cost: 2.156166
Step Index: 39700 | Cost: 2.145603
Step Index: 39800 | Cost: 2.067584
Step Index: 39900 | Cost: 2.140932
Step Index: 40000 | Cost: 2.298416
Step Index: 40100 | Cost: 2.184686
Step Index: 40200 | Cost: 2.019277
Step Index: 40300 | Cost: 2.137415
Step Index: 40400 | Cost: 2.070917
Step Index: 40500 | Cost: 2.061016
Step Index: 40600 | Cost: 2.166669
Step Index: 40700 | Cost: 2.164559
Step Index: 40800 | Cost: 2.030624
Step Index: 40900 | Cost: 2.013329
Step Index: 41000 | Cost: 2.007381
Step Index: 41100 | Cost: 1.989261
Step Index: 41200 | Cost: 2.161939
Step Index: 41300 | Cost: 2.073017
Step Index: 41400 | Cost: 2.014502
Step Index: 41500 | Cost: 2.076949
Step Index: 41600 | Cost: 2.003525
Step Index: 41700 | Cost: 2.194274
Step Index: 41800 | Cost: 2.026320
Step Index: 41900 | Cost: 2.045582
Step Index: 42000 | Cost: 2.123908
Step Index: 42100 | Cost: 2.120074
Step Index: 42200 | Cost: 2.226775
