
 ================ Running training with num_iterations = 100 ================
Current Epochs: 0.07
Step Index: 37500 | Cost: 2.305910
Step Index: 37600 | Cost: 2.305083
Step Index: 37700 | Cost: 2.298139
Step Index: 37800 | Cost: 2.301066
Step Index: 37900 | Cost: 2.303197
Step Index: 38000 | Cost: 2.304667
Step Index: 38100 | Cost: 2.297386
Step Index: 38200 | Cost: 2.300633
Step Index: 38300 | Cost: 2.302620
Step Index: 38400 | Cost: 2.302875
Step Index: 38500 | Cost: 2.299228
Step Index: 38600 | Cost: 2.297535
Step Index: 38700 | Cost: 2.303192
Step Index: 38800 | Cost: 2.301029
Step Index: 38900 | Cost: 2.303256
Step Index: 39000 | Cost: 2.300418
Step Index: 39100 | Cost: 2.304369
Step Index: 39200 | Cost: 2.306086
Step Index: 39300 | Cost: 2.300184
Step Index: 39400 | Cost: 2.302078
Step Index: 39500 | Cost: 2.300287
Step Index: 39600 | Cost: 2.301752
Step Index: 39700 | Cost: 2.304597
Step Index: 39800 | Cost: 2.305055
Step Index: 39900 | Cost: 2.299968
Step Index: 40000 | Cost: 2.301751
Step Index: 40100 | Cost: 2.297359
Step Index: 40200 | Cost: 2.296121
Step Index: 40300 | Cost: 2.305341
Step Index: 40400 | Cost: 2.304374
Step Index: 40500 | Cost: 2.306426
Step Index: 40600 | Cost: 2.299749
Step Index: 40700 | Cost: 2.306688
Step Index: 40800 | Cost: 2.305057
Step Index: 40900 | Cost: 2.297728
Step Index: 41000 | Cost: 2.303843
Step Index: 41100 | Cost: 2.299557
Step Index: 41200 | Cost: 2.301269
Step Index: 41300 | Cost: 2.302909
Step Index: 41400 | Cost: 2.305661
Step Index: 41500 | Cost: 2.297649
Step Index: 41600 | Cost: 2.301319
Step Index: 41700 | Cost: 2.296666
Step Index: 41800 | Cost: 2.301045
Step Index: 41900 | Cost: 2.300715
Step Index: 42000 | Cost: 2.298844
Step Index: 42100 | Cost: 2.304129
Step Index: 42200 | Cost: 2.298775
Step Index: 42300 | Cost: 2.306011
Step Index: 42400 | Cost: 2.305934
Step Index: 42500 | Cost: 2.304734
Step Index: 42600 | Cost: 2.304618
Step Index: 42700 | Cost: 2.301355
Step Index: 42800 | Cost: 2.301125
Step Index: 42900 | Cost: 2.301069
Step Index: 43000 | Cost: 2.302318
Step Index: 43100 | Cost: 2.300600
Step Index: 43200 | Cost: 2.304472
Step Index: 43300 | Cost: 2.303374
Step Index: 43400 | Cost: 2.305153
Step Index: 43500 | Cost: 2.304413
Step Index: 43600 | Cost: 2.298717
Step Index: 43700 | Cost: 2.296760
Step Index: 43800 | Cost: 2.301044
Step Index: 43900 | Cost: 2.305018
Step Index: 44000 | Cost: 2.302592
Step Index: 44100 | Cost: 2.296633
Step Index: 44200 | Cost: 2.306707
Step Index: 44300 | Cost: 2.299278
Step Index: 44400 | Cost: 2.303789
Step Index: 44500 | Cost: 2.303920
Step Index: 44600 | Cost: 2.301576
Step Index: 44700 | Cost: 2.298911
Step Index: 44800 | Cost: 2.299851
Step Index: 44900 | Cost: 2.302678
Step Index: 45000 | Cost: 2.295637
Step Index: 45100 | Cost: 2.303969
Step Index: 45200 | Cost: 2.303801
Step Index: 45300 | Cost: 2.299965
Step Index: 45400 | Cost: 2.298854
Step Index: 45500 | Cost: 2.295739
Step Index: 45600 | Cost: 2.296123
Step Index: 45700 | Cost: 2.306023
Step Index: 45800 | Cost: 2.302035
Step Index: 45900 | Cost: 2.305673
Step Index: 46000 | Cost: 2.304358
Step Index: 46100 | Cost: 2.303284
Step Index: 46200 | Cost: 2.297275
Step Index: 46300 | Cost: 2.305269
Step Index: 46400 | Cost: 2.305855
Step Index: 46500 | Cost: 2.304403
Step Index: 46600 | Cost: 2.304386
Step Index: 46700 | Cost: 2.302610
Step Index: 46800 | Cost: 2.300827
Step Index: 46900 | Cost: 2.305309
Step Index: 47000 | Cost: 2.296543
Step Index: 47100 | Cost: 2.300497
Step Index: 47200 | Cost: 2.310165
Step Index: 47300 | Cost: 2.301574
Step Index: 47400 | Cost: 2.303362
Step Index: 47500 | Cost: 2.299136
Step Index: 47600 | Cost: 2.303401
Step Index: 47700 | Cost: 2.303562
Step Index: 47800 | Cost: 2.303053
Step Index: 47900 | Cost: 2.302792
Step Index: 48000 | Cost: 2.305363
Step Index: 48100 | Cost: 2.301167
Step Index: 48200 | Cost: 2.303199
Step Index: 48300 | Cost: 2.302428
Step Index: 48400 | Cost: 2.303944
Step Index: 48500 | Cost: 2.310106
Step Index: 48600 | Cost: 2.300964
Step Index: 48700 | Cost: 2.295862
Step Index: 48800 | Cost: 2.309442
Step Index: 48900 | Cost: 2.305296
Step Index: 49000 | Cost: 2.297431
Step Index: 49100 | Cost: 2.296441
Step Index: 49200 | Cost: 2.301222
Step Index: 49300 | Cost: 2.302862
Step Index: 49400 | Cost: 2.308853
Step Index: 49500 | Cost: 2.302950
Step Index: 49600 | Cost: 2.307574
Step Index: 49700 | Cost: 2.295650
Step Index: 49800 | Cost: 2.302066
Step Index: 49900 | Cost: 2.312868
Step Index: 50000 | Cost: 2.304820
Step Index: 50100 | Cost: 2.307778
Step Index: 50200 | Cost: 2.300828
Step Index: 50300 | Cost: 2.302490
Step Index: 50400 | Cost: 2.298193
Step Index: 50500 | Cost: 2.303228
Step Index: 50600 | Cost: 2.300243
Step Index: 50700 | Cost: 2.297597
Step Index: 50800 | Cost: 2.299862
Step Index: 50900 | Cost: 2.309053
Step Index: 51000 | Cost: 2.299775
Step Index: 51100 | Cost: 2.301198
Step Index: 51200 | Cost: 2.301344
Step Index: 51300 | Cost: 2.305616
Step Index: 51400 | Cost: 2.295864
Step Index: 51500 | Cost: 2.294625
Step Index: 51600 | Cost: 2.298025
Step Index: 51700 | Cost: 2.302333
Step Index: 51800 | Cost: 2.305770
Step Index: 51900 | Cost: 2.303152
Step Index: 52000 | Cost: 2.297378
Step Index: 52100 | Cost: 2.307820
Step Index: 52200 | Cost: 2.303023
Step Index: 52300 | Cost: 2.299290
Step Index: 52400 | Cost: 2.302240
Step Index: 52500 | Cost: 2.304940
Step Index: 52600 | Cost: 2.307629
Step Index: 52700 | Cost: 2.301918
Step Index: 52800 | Cost: 2.299104
Step Index: 52900 | Cost: 2.305522
Step Index: 53000 | Cost: 2.297513
Step Index: 53100 | Cost: 2.306139
Step Index: 53200 | Cost: 2.300388
Step Index: 53300 | Cost: 2.304372
Step Index: 53400 | Cost: 2.299064
Step Index: 53500 | Cost: 2.303652
Step Index: 53600 | Cost: 2.304302
Step Index: 53700 | Cost: 2.307782
Step Index: 53800 | Cost: 2.298773
Step Index: 53900 | Cost: 2.302058
Step Index: 54000 | Cost: 2.307367
Step Index: 54100 | Cost: 2.300434
Step Index: 54200 | Cost: 2.298590
Step Index: 54300 | Cost: 2.305000
Step Index: 54400 | Cost: 2.302371
Step Index: 54500 | Cost: 2.306020
Step Index: 54600 | Cost: 2.306579
Step Index: 54700 | Cost: 2.302578
Step Index: 54800 | Cost: 2.294867
Step Index: 54900 | Cost: 2.298836
Step Index: 55000 | Cost: 2.301810
Step Index: 55100 | Cost: 2.294675
Step Index: 55200 | Cost: 2.307007
Step Index: 55300 | Cost: 2.300715
Step Index: 55400 | Cost: 2.299306
Step Index: 55500 | Cost: 2.301080
Step Index: 55600 | Cost: 2.300213
Step Index: 55700 | Cost: 2.299888
Step Index: 55800 | Cost: 2.301942
Step Index: 55900 | Cost: 2.296535
Step Index: 56000 | Cost: 2.298027
Step Index: 56100 | Cost: 2.301305
Step Index: 56200 | Cost: 2.306642
Step Index: 56300 | Cost: 2.302167
Step Index: 56400 | Cost: 2.298667
Step Index: 56500 | Cost: 2.302709
Step Index: 56600 | Cost: 2.308137
Step Index: 56700 | Cost: 2.305284
Step Index: 56800 | Cost: 2.300101
Step Index: 56900 | Cost: 2.301622
Step Index: 57000 | Cost: 2.302421
Step Index: 57100 | Cost: 2.299996
Step Index: 57200 | Cost: 2.310115
Step Index: 57300 | Cost: 2.305500
Step Index: 57400 | Cost: 2.301207
Step Index: 57500 | Cost: 2.302613
Step Index: 57600 | Cost: 2.299292
Step Index: 57700 | Cost: 2.302566
Step Index: 57800 | Cost: 2.295088
Step Index: 57900 | Cost: 2.301862
Step Index: 58000 | Cost: 2.303309
Step Index: 58100 | Cost: 2.296176
Step Index: 58200 | Cost: 2.304664
Step Index: 58300 | Cost: 2.300041
Step Index: 58400 | Cost: 2.300111
Step Index: 58500 | Cost: 2.306634
Step Index: 58600 | Cost: 2.302558
Step Index: 58700 | Cost: 2.298287
Step Index: 58800 | Cost: 2.300953
Step Index: 58900 | Cost: 2.306618
Step Index: 59000 | Cost: 2.305720
Step Index: 59100 | Cost: 2.303346
Step Index: 59200 | Cost: 2.303368
Step Index: 59300 | Cost: 2.302668
Step Index: 59400 | Cost: 2.300363
Step Index: 59500 | Cost: 2.299063
Step Index: 59600 | Cost: 2.302828
Step Index: 59700 | Cost: 2.301547
Step Index: 59800 | Cost: 2.306051
Step Index: 59900 | Cost: 2.299299
Step Index: 60000 | Cost: 2.302212
Step Index: 60100 | Cost: 2.298117
Step Index: 60200 | Cost: 2.298817
Step Index: 60300 | Cost: 2.304978
Step Index: 60400 | Cost: 2.300870
Step Index: 60500 | Cost: 2.303745
Step Index: 60600 | Cost: 2.300990
Step Index: 60700 | Cost: 2.301204
Step Index: 60800 | Cost: 2.296057
Step Index: 60900 | Cost: 2.299126
Step Index: 61000 | Cost: 2.300324
Step Index: 61100 | Cost: 2.302854
Step Index: 61200 | Cost: 2.296591
Step Index: 61300 | Cost: 2.307056
Step Index: 61400 | Cost: 2.298071
Step Index: 61500 | Cost: 2.297590
Step Index: 61600 | Cost: 2.305956
Step Index: 61700 | Cost: 2.298898
Step Index: 61800 | Cost: 2.298806
Step Index: 61900 | Cost: 2.297105
Step Index: 62000 | Cost: 2.300869
Step Index: 62100 | Cost: 2.301346
Step Index: 62200 | Cost: 2.299437
Step Index: 62300 | Cost: 2.297484
Step Index: 62400 | Cost: 2.303720
Step Index: 62500 | Cost: 2.302856
Step Index: 62600 | Cost: 2.302378
Step Index: 62700 | Cost: 2.309240
Step Index: 62800 | Cost: 2.295177
Step Index: 62900 | Cost: 2.298300
Step Index: 63000 | Cost: 2.299682
Step Index: 63100 | Cost: 2.304702
Step Index: 63200 | Cost: 2.297697
Step Index: 63300 | Cost: 2.299930
Step Index: 63400 | Cost: 2.305467
Step Index: 63500 | Cost: 2.304035
Step Index: 63600 | Cost: 2.298883
Step Index: 63700 | Cost: 2.305475
Step Index: 63800 | Cost: 2.298448
Step Index: 63900 | Cost: 2.298345
Step Index: 64000 | Cost: 2.305057
Step Index: 64100 | Cost: 2.309947
Step Index: 64200 | Cost: 2.296671
Step Index: 64300 | Cost: 2.305742
Step Index: 64400 | Cost: 2.301959
Step Index: 64500 | Cost: 2.300833
Step Index: 64600 | Cost: 2.301621
Step Index: 64700 | Cost: 2.298585
Step Index: 64800 | Cost: 2.297383
Step Index: 64900 | Cost: 2.304220
Step Index: 65000 | Cost: 2.295662
Step Index: 65100 | Cost: 2.301406
Step Index: 65200 | Cost: 2.304594
Step Index: 65300 | Cost: 2.302428
Step Index: 65400 | Cost: 2.303803
Step Index: 65500 | Cost: 2.298198
Step Index: 65600 | Cost: 2.295458
Step Index: 65700 | Cost: 2.290165
Step Index: 65800 | Cost: 2.306895
Step Index: 65900 | Cost: 2.300085
Step Index: 66000 | Cost: 2.299093
Step Index: 66100 | Cost: 2.301467
Step Index: 66200 | Cost: 2.302791
Step Index: 66300 | Cost: 2.310763
Step Index: 66400 | Cost: 2.304888
Step Index: 66500 | Cost: 2.304831
Step Index: 66600 | Cost: 2.304355
Step Index: 66700 | Cost: 2.304569
Step Index: 66800 | Cost: 2.305049
Step Index: 66900 | Cost: 2.302150
Step Index: 67000 | Cost: 2.308396
Step Index: 67100 | Cost: 2.306078
Step Index: 67200 | Cost: 2.295985
Step Index: 67300 | Cost: 2.299362
Step Index: 67400 | Cost: 2.301674
Step Index: 67500 | Cost: 2.310129
Step Index: 67600 | Cost: 2.303940
Step Index: 67700 | Cost: 2.297452
Step Index: 67800 | Cost: 2.301803
Step Index: 67900 | Cost: 2.303611
Step Index: 68000 | Cost: 2.304707
Step Index: 68100 | Cost: 2.301595
Step Index: 68200 | Cost: 2.303476
Step Index: 68300 | Cost: 2.302333
Step Index: 68400 | Cost: 2.303349
Step Index: 68500 | Cost: 2.298806
Step Index: 68600 | Cost: 2.303735
Step Index: 68700 | Cost: 2.302741
Step Index: 68800 | Cost: 2.294627
Step Index: 68900 | Cost: 2.305876
Step Index: 69000 | Cost: 2.303849
Step Index: 69100 | Cost: 2.306163
Step Index: 69200 | Cost: 2.308147
Step Index: 69300 | Cost: 2.306098
Step Index: 69400 | Cost: 2.302763
