
 ================ Running training with num_iterations = 100 ================
Current Epochs: 0.03
Step Index: 39500 | Cost: 2.287649
Step Index: 39600 | Cost: 2.298981
Step Index: 39700 | Cost: 2.295555
Step Index: 39800 | Cost: 2.305122
Step Index: 39900 | Cost: 2.304328
Step Index: 40000 | Cost: 2.305225
Step Index: 40100 | Cost: 2.297944
Step Index: 40200 | Cost: 2.301378
Step Index: 40300 | Cost: 2.305984
Step Index: 40400 | Cost: 2.309624
Step Index: 40500 | Cost: 2.307556
Step Index: 40600 | Cost: 2.303694
Step Index: 40700 | Cost: 2.302392
Step Index: 40800 | Cost: 2.300113
Step Index: 40900 | Cost: 2.301495
Step Index: 41000 | Cost: 2.294696
Step Index: 41100 | Cost: 2.299745
Step Index: 41200 | Cost: 2.302459
Step Index: 41300 | Cost: 2.299552
Step Index: 41400 | Cost: 2.297517
Step Index: 41500 | Cost: 2.300061
Step Index: 41600 | Cost: 2.300252
Step Index: 41700 | Cost: 2.304369
Step Index: 41800 | Cost: 2.304036
Step Index: 41900 | Cost: 2.297651
Step Index: 42000 | Cost: 2.303807
Step Index: 42100 | Cost: 2.307412
Step Index: 42200 | Cost: 2.302598
Step Index: 42300 | Cost: 2.307344
Step Index: 42400 | Cost: 2.301876
Step Index: 42500 | Cost: 2.294652
Step Index: 42600 | Cost: 2.298937
Step Index: 42700 | Cost: 2.305312
Step Index: 42800 | Cost: 2.304239
Step Index: 42900 | Cost: 2.304453
Step Index: 43000 | Cost: 2.296107
Step Index: 43100 | Cost: 2.299255
Step Index: 43200 | Cost: 2.294747
Step Index: 43300 | Cost: 2.302863
Step Index: 43400 | Cost: 2.291390
Step Index: 43500 | Cost: 2.312361
Step Index: 43600 | Cost: 2.297358
Step Index: 43700 | Cost: 2.303272
Step Index: 43800 | Cost: 2.302996
Step Index: 43900 | Cost: 2.298520
Step Index: 44000 | Cost: 2.307241
Step Index: 44100 | Cost: 2.302249
Step Index: 44200 | Cost: 2.305178
Step Index: 44300 | Cost: 2.302427
Step Index: 44400 | Cost: 2.306476
Step Index: 44500 | Cost: 2.301436
Step Index: 44600 | Cost: 2.292894
Step Index: 44700 | Cost: 2.297879
Step Index: 44800 | Cost: 2.290471
Step Index: 44900 | Cost: 2.303993
Step Index: 45000 | Cost: 2.293295
Step Index: 45100 | Cost: 2.302006
Step Index: 45200 | Cost: 2.290453
Step Index: 45300 | Cost: 2.298008
Step Index: 45400 | Cost: 2.290219
Step Index: 45500 | Cost: 2.299025
Step Index: 45600 | Cost: 2.300627
Step Index: 45700 | Cost: 2.303853
Step Index: 45800 | Cost: 2.308162
Step Index: 45900 | Cost: 2.294857
Step Index: 46000 | Cost: 2.305570
Step Index: 46100 | Cost: 2.302634
Step Index: 46200 | Cost: 2.301503
Step Index: 46300 | Cost: 2.303345
Step Index: 46400 | Cost: 2.294390
Step Index: 46500 | Cost: 2.298468
Step Index: 46600 | Cost: 2.298688
Step Index: 46700 | Cost: 2.308321
Step Index: 46800 | Cost: 2.300657
Step Index: 46900 | Cost: 2.297142
Step Index: 47000 | Cost: 2.286939
Step Index: 47100 | Cost: 2.311518
Step Index: 47200 | Cost: 2.296922
Step Index: 47300 | Cost: 2.301906
Step Index: 47400 | Cost: 2.300537
Step Index: 47500 | Cost: 2.300981
Step Index: 47600 | Cost: 2.307781
Step Index: 47700 | Cost: 2.303112
Step Index: 47800 | Cost: 2.288990
Step Index: 47900 | Cost: 2.310227
Step Index: 48000 | Cost: 2.304632
Step Index: 48100 | Cost: 2.308119
Step Index: 48200 | Cost: 2.299476
Step Index: 48300 | Cost: 2.292352
Step Index: 48400 | Cost: 2.307787
Step Index: 48500 | Cost: 2.302673
Step Index: 48600 | Cost: 2.290707
Step Index: 48700 | Cost: 2.305903
Step Index: 48800 | Cost: 2.302768
Step Index: 48900 | Cost: 2.296908
Step Index: 49000 | Cost: 2.300658
Step Index: 49100 | Cost: 2.310105
Step Index: 49200 | Cost: 2.303921
Step Index: 49300 | Cost: 2.290943
Step Index: 49400 | Cost: 2.305075
Step Index: 49500 | Cost: 2.312256
Step Index: 49600 | Cost: 2.292580
Step Index: 49700 | Cost: 2.308327
Step Index: 49800 | Cost: 2.291267
Step Index: 49900 | Cost: 2.295279
Step Index: 50000 | Cost: 2.304772
Step Index: 50100 | Cost: 2.295404
Step Index: 50200 | Cost: 2.299292
Step Index: 50300 | Cost: 2.310301
