
 ================ Running training with num_iterations = 100 ================
Current Epochs: 0.07
Step Index: 30000 | Cost: 2.166497
Step Index: 30100 | Cost: 2.106851
Step Index: 30200 | Cost: 2.196077
Step Index: 30300 | Cost: 2.213320
Step Index: 30400 | Cost: 2.231614
Step Index: 30500 | Cost: 2.111015
Step Index: 30600 | Cost: 2.135525
Step Index: 30700 | Cost: 2.100582
Step Index: 30800 | Cost: 2.097120
Step Index: 30900 | Cost: 2.144527
Step Index: 31000 | Cost: 2.232149
Step Index: 31100 | Cost: 2.092299
Step Index: 31200 | Cost: 2.095858
Step Index: 31300 | Cost: 2.190602
Step Index: 31400 | Cost: 2.154991
Step Index: 31500 | Cost: 2.260891
Step Index: 31600 | Cost: 2.143832
Step Index: 31700 | Cost: 2.171589
Step Index: 31800 | Cost: 2.068885
Step Index: 31900 | Cost: 2.103258
Step Index: 32000 | Cost: 2.129528
Step Index: 32100 | Cost: 2.059894
Step Index: 32200 | Cost: 2.205223
Step Index: 32300 | Cost: 2.176257
Step Index: 32400 | Cost: 2.176742
Step Index: 32500 | Cost: 2.061010
Step Index: 32600 | Cost: 2.150227
Step Index: 32700 | Cost: 2.050873
Step Index: 32800 | Cost: 2.122566
Step Index: 32900 | Cost: 2.156846
Step Index: 33000 | Cost: 2.109957
Step Index: 33100 | Cost: 2.133711
Step Index: 33200 | Cost: 2.136004
Step Index: 33300 | Cost: 2.155439
Step Index: 33400 | Cost: 2.204550
Step Index: 33500 | Cost: 2.203429
Step Index: 33600 | Cost: 2.073791
Step Index: 33700 | Cost: 2.125270
Step Index: 33800 | Cost: 2.202990
Step Index: 33900 | Cost: 2.107019
Step Index: 34000 | Cost: 2.160370
Step Index: 34100 | Cost: 2.085218
Step Index: 34200 | Cost: 2.185404
Step Index: 34300 | Cost: 2.095018
Step Index: 34400 | Cost: 2.258656
Step Index: 34500 | Cost: 2.045149
Step Index: 34600 | Cost: 2.013562
Step Index: 34700 | Cost: 2.063670
Step Index: 34800 | Cost: 2.223288
Step Index: 34900 | Cost: 2.044979
Step Index: 35000 | Cost: 2.093413
Step Index: 35100 | Cost: 2.188583
Step Index: 35200 | Cost: 2.066718
Step Index: 35300 | Cost: 2.206619
Step Index: 35400 | Cost: 2.083143
Step Index: 35500 | Cost: 2.134017
Step Index: 35600 | Cost: 2.214584
Step Index: 35700 | Cost: 2.186456
Step Index: 35800 | Cost: 2.236127
Step Index: 35900 | Cost: 2.199092
Step Index: 36000 | Cost: 2.071280
Step Index: 36100 | Cost: 2.224096
Step Index: 36200 | Cost: 2.205198
Step Index: 36300 | Cost: 2.166635
Step Index: 36400 | Cost: 2.174505
Step Index: 36500 | Cost: 2.160017
Step Index: 36600 | Cost: 2.114179
Step Index: 36700 | Cost: 2.117469
Step Index: 36800 | Cost: 2.161387
Step Index: 36900 | Cost: 2.077290
Step Index: 37000 | Cost: 2.051530
Step Index: 37100 | Cost: 2.079494
Step Index: 37200 | Cost: 2.096479
Step Index: 37300 | Cost: 2.132003
Step Index: 37400 | Cost: 2.157306
Step Index: 37500 | Cost: 2.113341
Step Index: 37600 | Cost: 2.110349
Step Index: 37700 | Cost: 2.147658
Step Index: 37800 | Cost: 2.084249
Step Index: 37900 | Cost: 2.133703
Step Index: 38000 | Cost: 2.111622
Step Index: 38100 | Cost: 2.055086
Step Index: 38200 | Cost: 2.066973
Step Index: 38300 | Cost: 2.201908
Step Index: 38400 | Cost: 2.190202
Step Index: 38500 | Cost: 2.026047
Step Index: 38600 | Cost: 2.035718
Step Index: 38700 | Cost: 2.087245
Step Index: 38800 | Cost: 2.171321
Step Index: 38900 | Cost: 2.040206
Step Index: 39000 | Cost: 2.145434
Step Index: 39100 | Cost: 2.131525
Step Index: 39200 | Cost: 2.248887
Step Index: 39300 | Cost: 2.086729
Step Index: 39400 | Cost: 2.089274
Step Index: 39500 | Cost: 2.170953
Step Index: 39600 | Cost: 2.116919
Step Index: 39700 | Cost: 2.080318
Step Index: 39800 | Cost: 2.181769
Step Index: 39900 | Cost: 2.124229
Step Index: 40000 | Cost: 2.046894
Step Index: 40100 | Cost: 2.060382
Step Index: 40200 | Cost: 2.053924
Step Index: 40300 | Cost: 2.153721
Step Index: 40400 | Cost: 2.169545
Step Index: 40500 | Cost: 2.299538
Step Index: 40600 | Cost: 2.176415
Step Index: 40700 | Cost: 2.194635
Step Index: 40800 | Cost: 2.145403
Step Index: 40900 | Cost: 2.192171
Step Index: 41000 | Cost: 2.094086
Step Index: 41100 | Cost: 2.142060
Step Index: 41200 | Cost: 2.133163
Step Index: 41300 | Cost: 2.066664
Step Index: 41400 | Cost: 2.215228
Step Index: 41500 | Cost: 2.075264
Step Index: 41600 | Cost: 2.024992
Step Index: 41700 | Cost: 1.964503
Step Index: 41800 | Cost: 2.162314
Step Index: 41900 | Cost: 2.094811
Step Index: 42000 | Cost: 2.050109
Step Index: 42100 | Cost: 2.155554
Step Index: 42200 | Cost: 2.063109
Step Index: 42300 | Cost: 2.106951
Step Index: 42400 | Cost: 2.086152
Step Index: 42500 | Cost: 2.012022
Step Index: 42600 | Cost: 2.193856
Step Index: 42700 | Cost: 2.087264
Step Index: 42800 | Cost: 2.221433
Step Index: 42900 | Cost: 2.162975
Step Index: 43000 | Cost: 2.083842
